Question,Intent,Answer,SearchText,Source,Topic,Semester
When is sovereignty and children's day in the spring semester?,Academic Calendar | SOVEREIGNTY AND CHILDREN'S DAY | Spring Semester,"Sovereignty And Children'S Day for the Spring Semester is scheduled for 21 May 2026, Thursday.","sovereignty and children's day spring semester academic calendar date deadline schedule 21 May 2026, Thursday",calendar,SOVEREIGNTY AND CHILDREN'S DAY,Spring Semester
When is last day of classes in the spring semester?,Academic Calendar | LAST DAY OF CLASSES | Spring Semester,"Last Day Of Classes for the Spring Semester is scheduled for 15 May 2026, Friday.","last day of classes spring semester academic calendar date deadline schedule 15 May 2026, Friday",calendar,LAST DAY OF CLASSES,Spring Semester
When is deadline for entering the grades for the semester exams into the system in the spring semester?,Academic Calendar | DEADLINE FOR ENTERING THE GRADES FOR THE SEMESTER EXAMS INTO THE SYSTEM | Spring Semester,"Deadline For Entering The Grades For The Semester Exams Into The System for the Spring Semester is scheduled for 22 May 2026, Friday. Additional details: ANNOUNCEMENT OF THE LIST OF STUDENTS THAT HAVE FAILED IN THE SPRING SEMESTER DUE TO","deadline for entering the grades for the semester exams into the system spring semester academic calendar date deadline schedule 22 May 2026, Friday",calendar,DEADLINE FOR ENTERING THE GRADES FOR THE SEMESTER EXAMS INTO THE SYSTEM,Spring Semester
When is final exams in the spring semester?,Academic Calendar | FINAL EXAMS | Spring Semester,Final Exams for the Spring Semester is scheduled for 1 - 10 June 2026 Monday-Wednesday.,final exams spring semester academic calendar date deadline schedule 1 - 10 June 2026 Monday-Wednesday,calendar,FINAL EXAMS,Spring Semester
When is application dates for graduation single course exams in the spring semester?,Academic Calendar | APPLICATION DATES FOR GRADUATION SINGLE COURSE EXAMS | Spring Semester,"Application Dates For Graduation Single Course Exams for the Spring Semester is scheduled for 29 June 2026, Monday.","application dates for graduation single course exams spring semester academic calendar date deadline schedule 29 June 2026, Monday",calendar,APPLICATION DATES FOR GRADUATION SINGLE COURSE EXAMS,Spring Semester
When is deadline for entering the final exam grades into ois for the spring semester in the spring semester?,Academic Calendar | DEADLINE FOR ENTERING THE FINAL EXAM GRADES INTO OIS FOR THE SPRING SEMESTER | Spring Semester,"Deadline For Entering The Final Exam Grades Into Ois For The Spring Semester for the Spring Semester is scheduled for 14 June 2026, Sunday.","deadline for entering the final exam grades into ois for the spring semester spring semester academic calendar date deadline schedule 14 June 2026, Sunday",calendar,DEADLINE FOR ENTERING THE FINAL EXAM GRADES INTO OIS FOR THE SPRING SEMESTER,Spring Semester
When is retake exams in the spring semester?,Academic Calendar | RETAKE EXAMS | Spring Semester,Retake Exams for the Spring Semester is scheduled for 18-24 June 2026 Thursday-Wednesday.,retake exams spring semester academic calendar date deadline schedule 18-24 June 2026 Thursday-Wednesday,calendar,RETAKE EXAMS,Spring Semester
When is 2nd additional exam applications within the scope of the law no 2547 article 44 c in the spring semester?,Academic Calendar | 2ND ADDITIONAL EXAM APPLICATIONS WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Spring Semester,2Nd Additional Exam Applications Within The Scope Of The Law No 2547 Article 44 C for the Spring Semester is scheduled for 16-20 February 2026 Monday-Friday.,2nd additional exam applications within the scope of the law no 2547 article 44 c spring semester academic calendar date deadline schedule 16-20 February 2026 Monday-Friday,calendar,2ND ADDITIONAL EXAM APPLICATIONS WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Spring Semester
When is single course exam for graduation in the spring semester?,Academic Calendar | SINGLE COURSE EXAM FOR GRADUATION | Spring Semester,"Single Course Exam For Graduation for the Spring Semester is scheduled for 17 February 2026, Tuesday.","single course exam for graduation spring semester academic calendar date deadline schedule 17 February 2026, Tuesday",calendar,SINGLE COURSE EXAM FOR GRADUATION,Spring Semester
When is deadline for announcing the grades from single course exams for graduation in the spring semester?,Academic Calendar | DEADLINE FOR ANNOUNCING THE GRADES FROM SINGLE COURSE EXAMS FOR GRADUATION | Spring Semester,"Deadline For Announcing The Grades From Single Course Exams For Graduation for the Spring Semester is scheduled for 23 February 2026, Monday.","deadline for announcing the grades from single course exams for graduation spring semester academic calendar date deadline schedule 23 February 2026, Monday",calendar,DEADLINE FOR ANNOUNCING THE GRADES FROM SINGLE COURSE EXAMS FOR GRADUATION,Spring Semester
When is applications for the exams to increase graduation grade average in the spring semester?,Academic Calendar | APPLICATIONS FOR THE EXAMS TO INCREASE GRADUATION GRADE AVERAGE | Spring Semester,"Applications For The Exams To Increase Graduation Grade Average for the Spring Semester is scheduled for 13 February 2026, Friday.","applications for the exams to increase graduation grade average spring semester academic calendar date deadline schedule 13 February 2026, Friday",calendar,APPLICATIONS FOR THE EXAMS TO INCREASE GRADUATION GRADE AVERAGE,Spring Semester
When is 2nd additional exam dates within the scope of the law no 2547 article 44 c in the spring semester?,Academic Calendar | 2ND ADDITIONAL EXAM DATES WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Spring Semester,2Nd Additional Exam Dates Within The Scope Of The Law No 2547 Article 44 C for the Spring Semester is scheduled for 24-26 February 2026 Tuesday-Thursday.,2nd additional exam dates within the scope of the law no 2547 article 44 c spring semester academic calendar date deadline schedule 24-26 February 2026 Tuesday-Thursday,calendar,2ND ADDITIONAL EXAM DATES WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Spring Semester
When is graduation grade average increase exam in the spring semester?,Academic Calendar | GRADUATION GRADE AVERAGE INCREASE EXAM | Spring Semester,"Graduation Grade Average Increase Exam for the Spring Semester is scheduled for 18 February 2026, Wednesday. Additional details: DEADLINE FOR ANNOUNCING THE GRADES FROM THE 2ND ADDITIONAL EXAM GIVEN WITHIN","graduation grade average increase exam spring semester academic calendar date deadline schedule 18 February 2026, Wednesday",calendar,GRADUATION GRADE AVERAGE INCREASE EXAM,Spring Semester
When is the scope of the law no 2547 article 44 c in the spring semester?,Academic Calendar | THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Spring Semester,"The Scope Of The Law No 2547 Article 44 C for the Spring Semester is scheduled for 2 March 2026, Monday. Additional details: DEADLINE FOR ANNOUNCING THE GRADES FROM THE EXAMS TO INCREASE GRADUATION","the scope of the law no 2547 article 44 c spring semester academic calendar date deadline schedule 2 March 2026, Monday",calendar,THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Spring Semester
When is grade average in the spring semester?,Academic Calendar | GRADE AVERAGE | Spring Semester,"Grade Average for the Spring Semester is scheduled for 20 February 2026, Friday.","grade average spring semester academic calendar date deadline schedule 20 February 2026, Friday",calendar,GRADE AVERAGE,Spring Semester
When is application dates for exemption from university's general english courses in the spring semester?,Academic Calendar | APPLICATION DATES FOR EXEMPTION FROM UNIVERSITY'S GENERAL ENGLISH COURSES | Spring Semester,Application Dates For Exemption From University'S General English Courses for the Spring Semester is scheduled for 20-28 January 2026 Tuesday-Wednesday. Additional details: LAST DAY OF APPLICATIONS FOR EXEMPTION FROM THE COURSES TAKEN FROM OTHER HIGHER,application dates for exemption from university's general english courses spring semester academic calendar date deadline schedule 20-28 January 2026 Tuesday-Wednesday,calendar,APPLICATION DATES FOR EXEMPTION FROM UNIVERSITY'S GENERAL ENGLISH COURSES,Spring Semester
When is exam date for exemption from university's general english courses in the spring semester?,Academic Calendar | EXAM DATE FOR EXEMPTION FROM UNIVERSITY'S GENERAL ENGLISH COURSES | Spring Semester,Exam Date For Exemption From University'S General English Courses for the Spring Semester is scheduled for 2 February 2026 Monday.,exam date for exemption from university's general english courses spring semester academic calendar date deadline schedule 2 February 2026 Monday,calendar,EXAM DATE FOR EXEMPTION FROM UNIVERSITY'S GENERAL ENGLISH COURSES,Spring Semester
When is beykoz-prof exam for the students applying for lateral transfer/double major/minor programs in the spring semester in the spring semester?,Academic Calendar | BEYKOZ-PROF EXAM FOR THE STUDENTS APPLYING FOR LATERAL TRANSFER/DOUBLE MAJOR/MINOR PROGRAMS IN THE SPRING SEMESTER | Spring Semester,"Beykoz-Prof Exam For The Students Applying For Lateral Transfer/Double Major/Minor Programs In The Spring Semester for the Spring Semester is scheduled for 5 February 2026, Thursday.","beykoz-prof exam for the students applying for lateral transfer/double major/minor programs in the spring semester spring semester academic calendar date deadline schedule 5 February 2026, Thursday",calendar,BEYKOZ-PROF EXAM FOR THE STUDENTS APPLYING FOR LATERAL TRANSFER/DOUBLE MAJOR/MINOR PROGRAMS IN THE SPRING SEMESTER,Spring Semester
When is make-up classes for the ones that could not be conducted due to ramadan holiday on 19 march 2025 thursday in the spring semester?,Academic Calendar | MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 19 MARCH 2025 THURSDAY | Spring Semester,"Make-Up Classes For The Ones That Could Not Be Conducted Due To Ramadan Holiday On 19 March 2025 Thursday for the Spring Semester is scheduled for 26 May 2026, Saturday. Additional details: MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY","make-up classes for the ones that could not be conducted due to ramadan holiday on 19 march 2025 thursday spring semester academic calendar date deadline schedule 26 May 2026, Saturday",calendar,MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 19 MARCH 2025 THURSDAY,Spring Semester
When is make-up classes for the ones that could not be conducted due to ramadan holiday on 21 march 2026 saturday in the spring semester?,Academic Calendar | MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 21 MARCH 2026 SATURDAY | Spring Semester,"Make-Up Classes For The Ones That Could Not Be Conducted Due To Ramadan Holiday On 21 March 2026 Saturday for the Spring Semester is scheduled for 17 May 2026, Sunday.","make-up classes for the ones that could not be conducted due to ramadan holiday on 21 march 2026 saturday spring semester academic calendar date deadline schedule 17 May 2026, Sunday",calendar,MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 21 MARCH 2026 SATURDAY,Spring Semester
When is make-up classes for the ones that could not be conducted due to 23 april national sovereignty and children's day in the spring semester?,Academic Calendar | MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO 23 APRIL NATIONAL SOVEREIGNTY AND CHILDREN'S DAY | Spring Semester,"Make-Up Classes For The Ones That Could Not Be Conducted Due To 23 April National Sovereignty And Children'S Day for the Spring Semester is scheduled for 21 May 2026, Thursday.","make-up classes for the ones that could not be conducted due to 23 april national sovereignty and children's day spring semester academic calendar date deadline schedule 21 May 2026, Thursday",calendar,MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO 23 APRIL NATIONAL SOVEREIGNTY AND CHILDREN'S DAY,Spring Semester
When is announcement of the list of students that have failed in the spring semester due to absenteeism in the spring semester?,Academic Calendar | ANNOUNCEMENT OF THE LIST OF STUDENTS THAT HAVE FAILED IN THE SPRING SEMESTER DUE TO ABSENTEEISM | Spring Semester,"Announcement Of The List Of Students That Have Failed In The Spring Semester Due To Absenteeism for the Spring Semester is scheduled for 22 May 2026, Friday.","announcement of the list of students that have failed in the spring semester due to absenteeism spring semester academic calendar date deadline schedule 22 May 2026, Friday",calendar,ANNOUNCEMENT OF THE LIST OF STUDENTS THAT HAVE FAILED IN THE SPRING SEMESTER DUE TO ABSENTEEISM,Spring Semester
When is deadline for announcing the grades from the 2nd additional exam given within the scope of the law no 2547 article 44 c in the spring semester?,Academic Calendar | DEADLINE FOR ANNOUNCING THE GRADES FROM THE 2ND ADDITIONAL EXAM GIVEN WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Spring Semester,"Deadline For Announcing The Grades From The 2Nd Additional Exam Given Within The Scope Of The Law No 2547 Article 44 C for the Spring Semester is scheduled for 2 March 2026, Monday. Additional details: DEADLINE FOR ANNOUNCING THE GRADES FROM THE EXAMS TO INCREASE GRADUATION","deadline for announcing the grades from the 2nd additional exam given within the scope of the law no 2547 article 44 c spring semester academic calendar date deadline schedule 2 March 2026, Monday",calendar,DEADLINE FOR ANNOUNCING THE GRADES FROM THE 2ND ADDITIONAL EXAM GIVEN WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Spring Semester
When is make-up classes for the ones that could not be conducted due to ramadan holiday on 20 march 2026 friday in the spring semester?,Academic Calendar | MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 20 MARCH 2026 FRIDAY | Spring Semester,"Make-Up Classes For The Ones That Could Not Be Conducted Due To Ramadan Holiday On 20 March 2026 Friday for the Spring Semester is scheduled for 20 May 2026, Wednesday. Additional details: MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY","make-up classes for the ones that could not be conducted due to ramadan holiday on 20 march 2026 friday spring semester academic calendar date deadline schedule 20 May 2026, Wednesday",calendar,MAKE-UP CLASSES FOR THE ONES THAT COULD NOT BE CONDUCTED DUE TO RAMADAN HOLIDAY ON 20 MARCH 2026 FRIDAY,Spring Semester
When is deadline for applications to take graduation grade average increase exam in the spring semester?,Academic Calendar | DEADLINE FOR APPLICATIONS TO TAKE GRADUATION GRADE AVERAGE INCREASE EXAM | Spring Semester,"Deadline For Applications To Take Graduation Grade Average Increase Exam for the Spring Semester is scheduled for 30 June 2026, Tuesday.","deadline for applications to take graduation grade average increase exam spring semester academic calendar date deadline schedule 30 June 2026, Tuesday",calendar,DEADLINE FOR APPLICATIONS TO TAKE GRADUATION GRADE AVERAGE INCREASE EXAM,Spring Semester
When is deadline for entering the retake exam results into ois in the spring semester?,Academic Calendar | DEADLINE FOR ENTERING THE RETAKE EXAM RESULTS INTO OIS | Spring Semester,"Deadline For Entering The Retake Exam Results Into Ois for the Spring Semester is scheduled for 28 June 2026, Sunday.","deadline for entering the retake exam results into ois spring semester academic calendar date deadline schedule 28 June 2026, Sunday",calendar,DEADLINE FOR ENTERING THE RETAKE EXAM RESULTS INTO OIS,Spring Semester
When is single course exam for graduation in the spring semester?,Academic Calendar | SINGLE COURSE EXAM FOR GRADUATION | Spring Semester,"Single Course Exam For Graduation for the Spring Semester is scheduled for 6 July 2026, Monday.","single course exam for graduation spring semester academic calendar date deadline schedule 6 July 2026, Monday",calendar,SINGLE COURSE EXAM FOR GRADUATION,Spring Semester
When is deadline for announcing the grades from single course exams for graduation in the spring semester?,Academic Calendar | DEADLINE FOR ANNOUNCING THE GRADES FROM SINGLE COURSE EXAMS FOR GRADUATION | Spring Semester,"Deadline For Announcing The Grades From Single Course Exams For Graduation for the Spring Semester is scheduled for 7 July 2026, Tuesday.","deadline for announcing the grades from single course exams for graduation spring semester academic calendar date deadline schedule 7 July 2026, Tuesday",calendar,DEADLINE FOR ANNOUNCING THE GRADES FROM SINGLE COURSE EXAMS FOR GRADUATION,Spring Semester
When is exams to increase graduation grade average in the spring semester?,Academic Calendar | EXAMS TO INCREASE GRADUATION GRADE AVERAGE | Spring Semester,"Exams To Increase Graduation Grade Average for the Spring Semester is scheduled for 3 July 2026, Friday. Additional details: DEADLINE FOR ANNOUNCING THE RESULTS OF THE EXAMS TO INCREASE GRADUATION GRADE","exams to increase graduation grade average spring semester academic calendar date deadline schedule 3 July 2026, Friday",calendar,EXAMS TO INCREASE GRADUATION GRADE AVERAGE,Spring Semester
When is last day for the announcement of the courses to be opened by the academic units in the summer term?,Academic Calendar | LAST DAY FOR THE ANNOUNCEMENT OF THE COURSES TO BE OPENED BY THE ACADEMIC UNITS | Summer Term,"Last Day For The Announcement Of The Courses To Be Opened By The Academic Units for the Summer Term is scheduled for 26 June 2026, Friday.","last day for the announcement of the courses to be opened by the academic units summer term academic calendar date deadline schedule 26 June 2026, Friday",calendar,LAST DAY FOR THE ANNOUNCEMENT OF THE COURSES TO BE OPENED BY THE ACADEMIC UNITS,Summer Term
When is final registration in the summer term?,Academic Calendar | FINAL REGISTRATION | Summer Term,Final Registration for the Summer Term is scheduled for 29 June - 2 July 2026 Monday-Thursday.,final registration summer term academic calendar date deadline schedule 29 June - 2 July 2026 Monday-Thursday,calendar,FINAL REGISTRATION,Summer Term
When is announcement of the courses that will be opened in the summer term?,Academic Calendar | ANNOUNCEMENT OF THE COURSES THAT WILL BE OPENED | Summer Term,"Announcement Of The Courses That Will Be Opened for the Summer Term is scheduled for 3 July 2026, Friday.","announcement of the courses that will be opened summer term academic calendar date deadline schedule 3 July 2026, Friday",calendar,ANNOUNCEMENT OF THE COURSES THAT WILL BE OPENED,Summer Term
When is first day of classes in the summer term?,Academic Calendar | FIRST DAY OF CLASSES | Summer Term,"First Day Of Classes for the Summer Term is scheduled for 6 July 2026, Monday.","first day of classes summer term academic calendar date deadline schedule 6 July 2026, Monday",calendar,FIRST DAY OF CLASSES,Summer Term
When is midterms in the summer term?,Academic Calendar | MIDTERMS | Summer Term,Midterms for the Summer Term is scheduled for 27 July - 1 August 2026 Monday - Friday.,midterms summer term academic calendar date deadline schedule 27 July - 1 August 2026 Monday - Friday,calendar,MIDTERMS,Summer Term
When is deadline for entering the midterm grades into ois in the summer term?,Academic Calendar | DEADLINE FOR ENTERING THE MIDTERM GRADES INTO OIS | Summer Term,"Deadline For Entering The Midterm Grades Into Ois for the Summer Term is scheduled for 7 August 2026, Friday.","deadline for entering the midterm grades into ois summer term academic calendar date deadline schedule 7 August 2026, Friday",calendar,DEADLINE FOR ENTERING THE MIDTERM GRADES INTO OIS,Summer Term
When is deadline for midterm make-up exam applications in the summer term?,Academic Calendar | DEADLINE FOR MIDTERM MAKE-UP EXAM APPLICATIONS | Summer Term,"Deadline For Midterm Make-Up Exam Applications for the Summer Term is scheduled for 5 August 2026, Wednesday.","deadline for midterm make-up exam applications summer term academic calendar date deadline schedule 5 August 2026, Wednesday",calendar,DEADLINE FOR MIDTERM MAKE-UP EXAM APPLICATIONS,Summer Term
When is make-up exams for the midterms in the summer term?,Academic Calendar | MAKE-UP EXAMS FOR THE MIDTERMS | Summer Term,Make-Up Exams For The Midterms for the Summer Term is scheduled for 10 - 11 August 2026 Monday - Tuesday.,make-up exams for the midterms summer term academic calendar date deadline schedule 10 - 11 August 2026 Monday - Tuesday,calendar,MAKE-UP EXAMS FOR THE MIDTERMS,Summer Term
When is deadline for entering the grades of the midterm make-up exams in the summer term?,Academic Calendar | DEADLINE FOR ENTERING THE GRADES OF THE MIDTERM MAKE-UP EXAMS | Summer Term,"Deadline For Entering The Grades Of The Midterm Make-Up Exams for the Summer Term is scheduled for 14 August 2026, Friday.","deadline for entering the grades of the midterm make-up exams summer term academic calendar date deadline schedule 14 August 2026, Friday",calendar,DEADLINE FOR ENTERING THE GRADES OF THE MIDTERM MAKE-UP EXAMS,Summer Term
When is last day of classes in the summer term?,Academic Calendar | LAST DAY OF CLASSES | Summer Term,"Last Day Of Classes for the Summer Term is scheduled for 21 August 2026,Friday.","last day of classes summer term academic calendar date deadline schedule 21 August 2026,Friday",calendar,LAST DAY OF CLASSES,Summer Term
When is deadline for entering the grades for the semester exams into the system in the summer term?,Academic Calendar | DEADLINE FOR ENTERING THE GRADES FOR THE SEMESTER EXAMS INTO THE SYSTEM | Summer Term,"Deadline For Entering The Grades For The Semester Exams Into The System for the Summer Term is scheduled for 21 August 2026,Friday. Additional details: ANNOUNCEMENT OF THE LIST OF STUDENTS THAT HAVE FAILED DUE TO","deadline for entering the grades for the semester exams into the system summer term academic calendar date deadline schedule 21 August 2026,Friday",calendar,DEADLINE FOR ENTERING THE GRADES FOR THE SEMESTER EXAMS INTO THE SYSTEM,Summer Term
When is absenteeism over ois in the summer term?,Academic Calendar | ABSENTEEISM OVER OIS | Summer Term,"Absenteeism Over Ois for the Summer Term is scheduled for 24 August 2026, Monday.","absenteeism over ois summer term academic calendar date deadline schedule 24 August 2026, Monday",calendar,ABSENTEEISM OVER OIS,Summer Term
When is final exams in the summer term?,Academic Calendar | FINAL EXAMS | Summer Term,Final Exams for the Summer Term is scheduled for 25 - 28 August 2026 Tuesday-Friday.,final exams summer term academic calendar date deadline schedule 25 - 28 August 2026 Tuesday-Friday,calendar,FINAL EXAMS,Summer Term
When is deadline for entering the final exam grades into ois in the summer term?,Academic Calendar | DEADLINE FOR ENTERING THE FINAL EXAM GRADES INTO OIS | Summer Term,"Deadline For Entering The Final Exam Grades Into Ois for the Summer Term is scheduled for 31 August 2026, Monday.","deadline for entering the final exam grades into ois summer term academic calendar date deadline schedule 31 August 2026, Monday",calendar,DEADLINE FOR ENTERING THE FINAL EXAM GRADES INTO OIS,Summer Term
When is application dates for graduation single course exams in the summer term?,Academic Calendar | APPLICATION DATES FOR GRADUATION SINGLE COURSE EXAMS | Summer Term,Application Dates For Graduation Single Course Exams for the Summer Term is scheduled for 31 August-8 September 2026 Monday-Tuesday.,application dates for graduation single course exams summer term academic calendar date deadline schedule 31 August-8 September 2026 Monday-Tuesday,calendar,APPLICATION DATES FOR GRADUATION SINGLE COURSE EXAMS,Summer Term
When is 1st additional exam applications within the scope of the law no 2547 article 44 c in the summer term?,Academic Calendar | 1ST ADDITIONAL EXAM APPLICATIONS WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Summer Term,1St Additional Exam Applications Within The Scope Of The Law No 2547 Article 44 C for the Summer Term is scheduled for 1 - 10 September 2026 Tuesday-Thursday.,1st additional exam applications within the scope of the law no 2547 article 44 c summer term academic calendar date deadline schedule 1 - 10 September 2026 Tuesday-Thursday,calendar,1ST ADDITIONAL EXAM APPLICATIONS WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Summer Term
When is single course exam for graduation in the summer term?,Academic Calendar | SINGLE COURSE EXAM FOR GRADUATION | Summer Term,"Single Course Exam For Graduation for the Summer Term is scheduled for 11 September 2026, Friday.","single course exam for graduation summer term academic calendar date deadline schedule 11 September 2026, Friday",calendar,SINGLE COURSE EXAM FOR GRADUATION,Summer Term
When is deadline for announcing the grades from single course exams for graduation in the summer term?,Academic Calendar | DEADLINE FOR ANNOUNCING THE GRADES FROM SINGLE COURSE EXAMS FOR GRADUATION | Summer Term,"Deadline For Announcing The Grades From Single Course Exams For Graduation for the Summer Term is scheduled for 15 September 2026, Tuesday.","deadline for announcing the grades from single course exams for graduation summer term academic calendar date deadline schedule 15 September 2026, Tuesday",calendar,DEADLINE FOR ANNOUNCING THE GRADES FROM SINGLE COURSE EXAMS FOR GRADUATION,Summer Term
When is applications for the exams to increase graduation grade average in the summer term?,Academic Calendar | APPLICATIONS FOR THE EXAMS TO INCREASE GRADUATION GRADE AVERAGE | Summer Term,"Applications For The Exams To Increase Graduation Grade Average for the Summer Term is scheduled for 14 September 2026, Monday.","applications for the exams to increase graduation grade average summer term academic calendar date deadline schedule 14 September 2026, Monday",calendar,APPLICATIONS FOR THE EXAMS TO INCREASE GRADUATION GRADE AVERAGE,Summer Term
When is 1st additional exam dates within the scope of the law no 2547 article 44 c in the summer term?,Academic Calendar | 1ST ADDITIONAL EXAM DATES WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Summer Term,1St Additional Exam Dates Within The Scope Of The Law No 2547 Article 44 C for the Summer Term is scheduled for 15 - 18 September 2026 Tuesday - Friday.,1st additional exam dates within the scope of the law no 2547 article 44 c summer term academic calendar date deadline schedule 15 - 18 September 2026 Tuesday - Friday,calendar,1ST ADDITIONAL EXAM DATES WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Summer Term
When is 2nd additional exam applications within the scope of the law no 2547 article 44 c in the summer term?,Academic Calendar | 2ND ADDITIONAL EXAM APPLICATIONS WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Summer Term,2Nd Additional Exam Applications Within The Scope Of The Law No 2547 Article 44 C for the Summer Term is scheduled for 22 September - 25 September 2026 Tuesday-Friday. Additional details: DEADLINE FOR ANNOUNCING THE GRADES FROM THE 1ST ADDITIONAL EXAM GIVEN WITHIN,2nd additional exam applications within the scope of the law no 2547 article 44 c summer term academic calendar date deadline schedule 22 September - 25 September 2026 Tuesday-Friday,calendar,2ND ADDITIONAL EXAM APPLICATIONS WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Summer Term
When is the scope of the law no 2547 article 44 c in the summer term?,Academic Calendar | THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Summer Term,"The Scope Of The Law No 2547 Article 44 C for the Summer Term is scheduled for 22 September 2026, Tuesday.","the scope of the law no 2547 article 44 c summer term academic calendar date deadline schedule 22 September 2026, Tuesday",calendar,THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Summer Term
When is exams to increase graduation grade average in the summer term?,Academic Calendar | EXAMS TO INCREASE GRADUATION GRADE AVERAGE | Summer Term,Exams To Increase Graduation Grade Average for the Summer Term is scheduled for 17-18 September 2026 Thursday-Friday. Additional details: DEADLINE FOR ANNOUNCING THE GRADES FROM THE EXAMS TO INCREASE GRADUATION,exams to increase graduation grade average summer term academic calendar date deadline schedule 17-18 September 2026 Thursday-Friday,calendar,EXAMS TO INCREASE GRADUATION GRADE AVERAGE,Summer Term
When is grade average in the summer term?,Academic Calendar | GRADE AVERAGE | Summer Term,"Grade Average for the Summer Term is scheduled for 23 September 2026, Wednesday.","grade average summer term academic calendar date deadline schedule 23 September 2026, Wednesday",calendar,GRADE AVERAGE,Summer Term
When is 2nd additional exam dates within the scope of the law no 2547 article 44 c in the summer term?,Academic Calendar | 2ND ADDITIONAL EXAM DATES WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Summer Term,2Nd Additional Exam Dates Within The Scope Of The Law No 2547 Article 44 C for the Summer Term is scheduled for 30 September - 2 October 2026 Wednesday-Friday. Additional details: DEADLINE FOR ANNOUNCING THE GRADES FROM THE 2ND ADDITIONAL EXAM GIVEN WITHIN,2nd additional exam dates within the scope of the law no 2547 article 44 c summer term academic calendar date deadline schedule 30 September - 2 October 2026 Wednesday-Friday,calendar,2ND ADDITIONAL EXAM DATES WITHIN THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Summer Term
When is the scope of the law no 2547 article 44 c in the summer term?,Academic Calendar | THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C | Summer Term,"The Scope Of The Law No 2547 Article 44 C for the Summer Term is scheduled for 6 October 2026, Tuesday.","the scope of the law no 2547 article 44 c summer term academic calendar date deadline schedule 6 October 2026, Tuesday",calendar,THE SCOPE OF THE LAW NO 2547 ARTICLE 44 C,Summer Term
When is republic day (holiday) in the public holidays?,Academic Calendar | REPUBLIC DAY (HOLIDAY) | Public Holidays,Republic Day (Holiday) for the Public Holidays is scheduled for 28 October 2025 Tuesday 1/2 / 29 October 2025 Wednesday.,republic day (holiday) public holidays academic calendar date deadline schedule 28 October 2025 Tuesday 1/2 / 29 October 2025 Wednesday,calendar,REPUBLIC DAY (HOLIDAY),Public Holidays
When is new year's day (holiday) in the public holidays?,Academic Calendar | NEW YEAR'S DAY (HOLIDAY) | Public Holidays,"New Year'S Day (Holiday) for the Public Holidays is scheduled for 1 January 2026, Thursday.","new year's day (holiday) public holidays academic calendar date deadline schedule 1 January 2026, Thursday",calendar,NEW YEAR'S DAY (HOLIDAY),Public Holidays
When is ramadan feast (holiday) in the public holidays?,Academic Calendar | RAMADAN FEAST (HOLIDAY) | Public Holidays,Ramadan Feast (Holiday) for the Public Holidays is scheduled for 19 March 2026 Thursday (Half Day) / 22 March 2026 Sunday.,ramadan feast (holiday) public holidays academic calendar date deadline schedule 19 March 2026 Thursday (Half Day) / 22 March 2026 Sunday,calendar,RAMADAN FEAST (HOLIDAY),Public Holidays
